"STAR_NUMBER":"Star":"Distance From The Sun":"EQUIVALENT TEMPERATURE":"RELATIVE MASS":"Radius":"luminosity":"stellar type"
6783:"Quanticus":63,1:3264:0,1:0,27:0:"M:2:V"
8750:"Tejat":194:3906:0,7:0,75:0,35:"K:7:V"
2337:"Albireo":6600:2930:0,4:0,66:0,04:"M:3:V"
337:"Fjordfall":1061:3824:0,6:0,7:0,55:"K:5:V"
8964:"Stellarnova":18,16:3774:0,8:0,95:0,24:"K:2:V"
1426:"Alnasl":129,8:2795:0,1:0,04:0,05:"M:5:V"
9633:"Etherios":368,14:3270:0,4:0,35:0,08:"M:1:V"
3869:"Inazuma":91,722:2405:0,4:0,49:0,04:"M:4:V"
3777:"Cosmaronix":145,701:5526:0,8:1,09:1,16:"G:4:V"
2670:"Wezen":277,9:3326:0,3:0,08:0,05:"M:2:V"
9419:"Lesath":597,943:3219:0,4:0,54:0,02:"M:2:V"
1832:"Cimmerian Veil":260:2988:0,4:0:0,03:"M:1:V"
1196:"Kōri Resonance":440,561:2619:0,2:0,53:0,02:"M:7:V"
822:"Bibhā":1553,0362:2898:0,2:0,4:0,05:"M:2:V"
4928:"Vermilion Expanse":6,2545:3383:0,4:0,2:0,01:"M:2:V"
5818:"Naos":420,362:2934:0,2:0,36:0,04:"M:5:V"
4100:"Ninja's Radiance":868,357:3493:0,4:0,7:0,03:"M:1:V"
7859:"Riftwanderer":269,3:2918:0,4:0,42:0,05:"M:1:V"
806:"Koeia":1801,48:3106:0,4:0,69:0,05:"M:1:V"
9221:"Ravenshadow":45,93:3899:0,6:0,84:0,39:"K:5:V"
8096:"Uzumaki Celestial":1292,4906:5254:0,9:1,12:0,93:"G:2:V"
2700:"Rasalgethi":1809,63:3757:0,7:0,92:0,46:"K:0:V"
6997:"Brimwarden":207,9:2977:0,1:0,12:0,07:"M:5:V"
7776:"Arneb":1034,77:4447:0,7:0,81:0,47:"K:2:V"
3735:"Ceibo":882,223:3818:0,8:0,96:0,2:"K:2:V"
3363:"Berserkr":844,99:2610:0,4:0,29:0,01:"M:2:V"
8185:"Situla":1182,5:3960:0,7:0,89:0,48:"K:5:V"
3328:"Wurren":287,117:3869:0,6:0,95:0,27:"K:2:V"
5239:"Subra":1440,09:3279:0,2:0,31:0,06:"M:2:V"
1371:"Osiris Cascade":1366,95:3384:0,1:0,62:0,05:"M:1:V"
1871:"Nembus":892:2572:0,4:0,05:0,01:"M:6:V"
7988:"Comet Shroud":553,649:2483:0,3:0,6:0,03:"M:5:V"
8423:"Astrobix":254,621:3050:0,4:0,17:0,04:"M:4:V"
5618:"Bastet's Mirage":127,66:5398:0,9:1,05:1,14:"G:5:V"
3096:"Petra":12,5901:2812:0,3:0,34:0,03:"M:1:V"
4310:"Riftwarder":292,338:2771:0,2:0,21:0,06:"M:2:V"
9916:"Zubeneschamali":176,8:3748:0,7:0,9:0,12:"K:7:V"
9808:"Iklil":1561,04:2834:0,2:0,33:0,01:"M:2:V"
5722:"Tsuki's Nebula":310,6:2813:0,2:0,38:0,05:"M:3:V"
2508:"Ryusei":567,601:2428:0,3:0,54:0,01:"M:6:V"
7672:"Elysian Anomaly":704,771:5688:0,9:1,04:0,75:"G:3:V"
1966:"Celestial Echo":159,388:5627:0,9:1,06:0,69:"G:2:V"
8273:"Rasalas":2850:4662:0,5:0,78:0,47:"K:1:V"
299:"Hinotori Whispers":31,17:3249:0,3:0,65:0,01:"M:2:V"
2333:"Torii Celestial":446,05:3551:0,1:0,56:0,02:"M:0:V"
5013:"Amaterasu Mirage":772,499:3990:0,6:0,81:0,14:"K:7:V"
1730:"Starglow Spectra":274,18:2419:0,4:0,03:0,04:"M:3:V"
2659:"Saiph":557,134:2511:0,1:0,37:0,06:"M:3:V"
8315:"Yildun":25,4:3023:0,2:0,49:0,05:"M:3:V"
1350:"Proxima Centauri":121,36:2456:0,1:0,51:0,05:"M:5:V"
7398:"Zephyrianix":696,573:2601:0,4:0,36:0,04:"M:6:V"
2236:"Muscida":345,3:3276:0,4:0,65:0:"M:1:V"
2855:"Yoru Ascendance":59,35:5599:0,8:1,04:1,16:"G:4:V"
7296:"Markeb":6280:2442:0,2:0,52:0,04:"M:8:V"
1757:"Antares":578,637:2802:0,1:0,23:0,03:"M:5:V"
9356:"Menkalinan":516,1:3837:0,7:0,72:0,35:"K:7:V"
9583:"Seginus":239,6:3971:0,5:0,87:0,15:"K:3:V"
1544:"Nushagak":393:2723:0,2:0,49:0,07:"M:4:V"
680:"Fuji Nebula":99,5561:4178:0,5:0,95:0,08:"K:5:V"
3880:"Chara":576,181:5416:0,9:1,05:1,04:"G:5:V"
4136:"Anser":14,063:5230:0,9:1,12:1,08:"G:2:V"
545:"Pipoltr":2970:2684:0,4:0,28:0,05:"M:5:V"
9482:"Alkalurops":309,329:2472:0,1:0,63:0,02:"M:4:V"
7502:"Phantara":39,7429:5209:0,9:1,14:1,03:"G:2:V"
763:"Mahasim":1667:2888:0,2:0,7:0,07:"M:1:V"
1100:"Isis' Labyrinth":568,09:3968:0,7:0,81:0,43:"K:7:V"
2918:"Mjornir":6700:3723:0,8:0,83:0,11:"K:6:V"
8731:"Solaris Shroud":33,19:2557:0,3:0,51:0,05:"M:5:V"
6850:"Gakyid":56,8:2808:0,1:0,53:0,05:"M:4:V"
7965:"Frostgale":44:2544:0,4:0,29:0,05:"M:5:V"
8783:"Nebula Obscura":1434,42:3339:0,3:0,24:0,03:"M:2:V"
4317:"Keid":383,846:3093:0,2:0,19:0:"M:2:V"
9762:"Tsuki's Beacon":3300:5472:1:1,09:1,21:"G:5:V"
2911:"Sakura's Silence":336,47:2689:0,4:0,3:0,01:"M:0:V"
8977:"Castor":807,28:3113:0,3:0,45:0,05:"M:1:V"
7816:"Sora":788,644:5559:1:1,04:0,9:"G:4:V"
2754:"Darkonix":263,4:3235:0,2:0:0,04:"M:2:V"
5581:"Orion's Elegance":748,64:4660:0,6:0,82:0,42:"K:3:V"
1108:"Zypheria":332,2:3111:0,1:0,53:0,05:"M:1:V"
8048:"Guniibuu":207,2:2966:0,1:0,4:0:"M:4:V"
5250:"Inquill":449,351:2893:0,4:0,35:0,01:"M:2:V"
5956:"Stellaria Whimsy":1426,53:2834:0,3:0,68:0,01:"M:2:V"
4713:"Nosaxa":1422,08:2814:0,3:0,52:0,02:"M:4:V"
5944:"Cosmic Gaze":320,2:2875:0,3:0,51:0,03:"M:5:V"
3643:"Sterrennacht":692,857:2449:0,2:0,06:0,07:"M:2:V"
4166:"Symbionix":676,32:3291:0,1:0,14:0,05:"M:1:V"
1346:"Inari's Threshold":560:2450:0,4:0,52:0,01:"M:8:V"
8720:"Tianguan":25,4893:3107:0,1:0,27:0,06:"M:2:V"
3621:"Samurai's Mirage":5,58:2798:0,3:0,6:0,02:"M:4:V"
391:"Yozora Labyrinth":512,085:4005:0,6:0,75:0,12:"K:5:V"
1848:"Nervia":48,4809:3492:0,4:0,19:0,07:"M:1:V"
5560:"Alula Borealis":973,141:4276:0,5:0,78:0,16:"K:5:V"
5189:"Sylvarix":98,75:2507:0,4:0,61:0,07:"M:8:V"
8564:"Lysian Nexus":266:2620:0,2:0,49:0,02:"M:5:V"
7657:"Ephemeral Labyrinth":36,9:2607:0,2:0,38:0,01:"M:1:V"
7425:"Obelisk Shadows":156,264:3263:0,2:0,03:0,05:"M:2:V"
723:"Polaris Australis":580,5:2724:0,4:0,42:0,03:"M:2:V"
3402:"Astral Echo":13,523:5327:1:1,03:1,42:"G:4:V"
8206:"Sora Seraph":57,7911:4211:0,5:0,79:0,35:"K:5:V"
9140:"Novaflame":7730:2451:0,4:0,22:0,04:"M:7:V"
3582:"Bosona":160,26:5419:1:1,12:0,95:"G:4:V"
6654:"Atria":109,25:4106:0,6:0,8:0,46:"K:2:V"
7680:"Cassioflux":848,76:2926:0,3:0,29:0,03:"M:5:V"
9465:"Moriah":684,088:5322:0,9:1,09:1,14:"G:2:V"
5213:"Vortexarian":67,02:4742:0,8:0,85:0,47:"K:0:V"
5559:"Nemea Residue":327:4388:0,7:0,9:0,4:"K:2:V"
2415:"Ravenfury":481,3:2427:0,4:0,1:0,06:"M:7:V"
3700:"Macondo":760,3:3392:0,2:0,46:0,05:"M:2:V"
9326:"Muphrid":4310:3048:0,3:0,24:0,06:"M:3:V"
2466:"Ebon Depths":44,12:3395:0,2:0,32:0,07:"M:2:V"
4498:"Deneb":6120:2977:0,3:0,15:0:"M:2:V"
6151:"Lyraflux":1346,08:2998:0,3:0,54:0,05:"M:4:V"
6702:"Vortexion":83,5:2420:0,3:0,61:0,06:"M:5:V"
689:"Haruka":813,46:5602:0,8:1,02:0,92:"G:2:V"
6523:"Arcanum Flux":55,2:3751:0,7:0,94:0,41:"K:3:V"
6966:"Aljanah":48,8:2826:0,4:0,17:0,03:"M:2:V"
5780:"Ecliptara":1095,53:2576:0,2:0,19:0,03:"M:5:V"
5655:"Asterion Abyss":44,9:2919:0,2:0,19:0,05:"M:2:V"
1091:"Thoth's Radiance":716,62:5336:0,9:1,07:0,75:"G:4:V"
8512:"Meissa":38,9679:2728:0,4:0,42:0,06:"M:1:V"
956:"Galehelm":513,769:2672:0,4:0,31:0,06:"M:6:V"
7238:"Alrakis":611,461:3415:0,3:0,02:0,07:"M:1:V"
2274:"Miaplacidus":570,451:3721:0,7:0,85:0,52:"K:2:V"
278:"Nocturnal Labyrinth":743,937:2758:0,4:0,22:0,05:"M:1:V"
6494:"Buna":296:3814:0,8:0,82:0,43:"K:7:V"
8222:"Aldebaran":404,891:2875:0,4:0,24:0,01:"M:3:V"
8857:"Alshat":774,33:5302:0,9:1,13:1,3:"G:5:V"
3250:"Mothallah":82,6603:3167:0,2:0,4:0,02:"M:3:V"
9909:"Skybreaker":949,11:3117:0,2:0,42:0,05:"M:1:V"
7640:"Rimeblade":1260,56:2506:0,3:0,6:0,06:"M:5:V"
9272:"Dalim":5690:3005:0,2:0,51:0,01:"M:4:V"
9898:"Nahn":1807,34:2804:0,3:0,13:0,06:"M:5:V"
5493:"Dìwö":608,754:2993:0,4:0,17:0,02:"M:1:V"
9941:"Aurora Anomaly":1500:2467:0,1:0,04:0,02:"M:5:V"
5495:"Nebulion":2760:3252:0,3:0,11:0,05:"M:3:V"
2702:"Rigel":59,7:4493:0,5:0,7:0,5:"K:3:V"
4149:"Spectral Serenity":331,576:5482:0,9:1,1:0,99:"G:5:V"
9463:"Phact":177,504:2718:0,3:0,54:0,04:"M:5:V"
2463:"Aladfar":2198,41:2907:0,1:0,19:0,03:"M:3:V"
8288:"Uklun":885,818:2514:0,4:0,56:0,05:"M:8:V"
4837:"Athebyne":737,735:3972:0,5:0,88:0,17:"K:7:V"
9983:"Nebulosys":1183,85:2695:0,4:0,21:0:"M:3:V"
3023:"Beemim":1030:3242:0,3:0,67:0,07:"M:0:V"
3775:"Kaveh":1209,34:5282:0,8:1,09:0,89:"G:2:V"
9053:"Spica":416,008:4168:0,6:0,9:0,28:"K:1:V"
5227:"Tiaki":320,07:4898:0,6:0,86:0,58:"K:0:V"
7607:"Caph":17,79:2531:0,2:0,2:0,05:"M:0:V"
5437:"Kūkan Cascade":482,6:3168:0,4:0,41:0:"M:2:V"
4720:"Shinju Serenity":111,276:3390:0,3:0,51:0:"M:1:V"
3684:"Alcyone":343,926:2848:0,1:0,41:0,04:"M:3:V"
4488:"Whispering Cosmos":833,056:2876:0,2:0,28:0,01:"M:1:V"
7958:"Olympian Flux":1353,36:2895:0,2:0,62:0,03:"M:3:V"
7788:"Amansinaya":65,03:2921:0,2:0,38:0,03:"M:4:V"
3178:"Syrma":45,37:2710:0,1:0,12:0,02:"M:5:V"
6739:"Lunacara":531,604:2889:0,2:0,11:0,07:"M:3:V"
8770:"Asellus Australis":647,878:2959:0,1:0,03:0,03:"M:4:V"
1312:"Thoth's Nebula":24:2484:0,4:0,43:0,01:"M:2:V"
2524:"Nikawiy":322,643:2645:0,4:0,33:0,05:"M:2:V"
1987:"Titawin":393,949:2717:0,1:0,31:0,05:"M:5:V"
9049:"Ryusei Radiance":459,664:3926:0,6:0,96:0,29:"K:3:V"
7921:"Astrophia":135,9:2763:0,4:0,15:0,04:"M:5:V"
9386:"Sirius":200,273:4010:0,8:0,86:0,15:"K:5:V"
7506:"Cocibolca":765,58:3694:0,2:0,68:0,05:"M:0:V"
9806:"Astraflux":1501,73:4163:0,7:0,76:0,55:"K:5:V"
7496:"Geisha's Echo":80,2349:2937:0,2:0,4:0,05:"M:3:V"
8198:"Nebuloria":385:3978:0,5:0,96:0,34:"K:5:V"
7126:"Eltanin":21,88:5563:0,8:1,05:1,44:"G:2:V"
4379:"Horus' Resonance":98:2921:0,3:0,5:0,01:"M:2:V"
9061:"Nebulonara":308,27:4162:0,6:0,93:0,11:"K:5:V"
658:"Haedus":422,1:3068:0,4:0,27:0:"M:3:V"
5216:"Galactrix":828,363:3111:0,1:0,22:0,04:"M:4:V"
4222:"Alderamin":125:3833:0,7:0,79:0,55:"K:5:V"
7628:"Ayeyarwady":389,916:2418:0,4:0,06:0,02:"M:8:V"
4225:"Elysionix":301,17:3406:0,4:0,7:0,08:"M:2:V"
3491:"Atakoraka":653,595:2870:0,4:0,43:0,05:"M:5:V"
7472:"Aetherial Mirage":5100:2893:0,4:0,35:0,02:"M:4:V"
4472:"Solarflarex":328,4:3002:0,1:0:0,06:"M:2:V"
7774:"Luminastra":345,9:3964:0,7:0,92:0,52:"K:0:V"
